,data_datetime,precipitation,cloudrate,dswrf,visibility,precipitation_probability,apparent_temperature,pressure,wind_speed,humidity,precipitation_diff,cloudrate_diff,dswrf_diff,visibility_diff,precipitation_probability_diff,apparent_temperature_diff,pressure_diff,wind_speed_diff,humidity_diff,minute_of_day,distance_max
63,2025-06-23 00:00:00,3.1157,1.0,0.0,3.24,80,27.2,100252.92,5.83,0.99,1.8659999999999999,0.0,0.0,0.020000000000000018,10.0,-0.40000000000000213,-51.720000000001164,0.8899999999999997,0.0,0.0,660
64,2025-06-23 01:00:00,0.7313,0.92,0.0,4.51,60,27.2,100184.06,4.56,0.99,-2.3844,-0.07999999999999996,0.0,1.2699999999999996,-20.0,0.0,-68.86000000000058,-1.2700000000000005,0.0,1.0,600
65,2025-06-23 02:00:00,0.6884,1.0,0.0,6.14,60,26.3,100184.94,7.9,0.98,-0.04289999999999994,0.07999999999999996,0.0,1.63,0.0,-0.8999999999999986,0.8800000000046566,3.3400000000000007,-0.010000000000000009,2.0,540
66,2025-06-23 03:00:00,0.2729,1.0,0.0,16.35,60,25.8,100195.81,7.46,0.98,-0.41550000000000004,0.0,0.0,10.21,0.0,-0.5,10.869999999995343,-0.4400000000000004,0.0,3.0,480
67,2025-06-23 04:00:00,0.4755,0.99,0.0,17.39,60,25.7,100200.81,6.09,0.97,0.2026,-0.010000000000000009,0.0,1.0399999999999991,0.0,-0.10000000000000142,5.0,-1.37,-0.010000000000000009,4.0,420
68,2025-06-23 05:00:00,0.491,1.0,0.0,13.12,60,26.0,100257.25,5.24,0.97,0.015500000000000014,0.010000000000000009,0.0,-4.270000000000001,0.0,0.3000000000000007,56.44000000000233,-0.8499999999999996,0.0,5.0,360
69,2025-06-23 06:00:00,0.4322,1.0,8.19,18.0,60,26.1,100295.18,4.68,0.97,-0.05880000000000002,0.0,8.19,4.880000000000001,0.0,0.10000000000000142,37.929999999993015,-0.5600000000000005,0.0,6.0,300
70,2025-06-23 07:00:00,0.0,1.0,19.58,24.14,0,26.1,100307.9,4.63,0.96,-0.4322,0.0,11.389999999999999,6.140000000000001,-60.0,0.0,12.720000000001164,-0.04999999999999982,-0.010000000000000009,7.0,240
71,2025-06-23 08:00:00,0.1236,1.0,58.34,23.75,60,26.0,100325.11,6.79,0.94,0.1236,0.0,38.760000000000005,-0.39000000000000057,60.0,-0.10000000000000142,17.210000000006403,2.16,-0.020000000000000018,8.0,180
72,2025-06-23 09:00:00,0.0,0.96,76.12,24.13,0,26.3,100318.59,7.13,0.93,-0.1236,-0.040000000000000036,17.78,0.379999999999999,-60.0,0.3000000000000007,-6.5200000000040745,0.33999999999999986,-0.009999999999999898,9.0,120
73,2025-06-23 10:00:00,0.0,0.66,229.68,24.13,0,26.9,100309.43,9.84,0.87,0.0,-0.29999999999999993,153.56,0.0,0.0,0.5999999999999979,-9.160000000003492,2.71,-0.06000000000000005,10.0,60
74,2025-06-23 11:00:00,0.0635,0.82,786.78,24.13,60,28.7,100295.59,13.53,0.8,0.0635,0.15999999999999992,557.0999999999999,0.0,60.0,1.8000000000000007,-13.839999999996508,3.6899999999999995,-0.06999999999999995,11.0,0
75,2025-06-23 12:00:00,0.0459,0.77,617.3,24.13,0,28.7,100251.84,14.3,0.76,-0.017599999999999998,-0.04999999999999993,-169.48000000000002,0.0,-60.0,0.0,-43.75,0.7700000000000014,-0.040000000000000036,12.0,-60
76,2025-06-23 13:00:00,0.0403,0.67,525.55,24.13,0,28.6,100216.69,14.76,0.75,-0.005600000000000001,-0.09999999999999998,-91.75,0.0,0.0,-0.09999999999999787,-35.14999999999418,0.4599999999999991,-0.010000000000000009,13.0,-120
77,2025-06-23 14:00:00,0.0429,1.0,528.52,24.14,0,28.9,100212.67,15.87,0.75,0.002599999999999998,0.32999999999999996,2.9700000000000273,0.010000000000001563,0.0,0.29999999999999716,-4.0200000000040745,1.1099999999999994,0.0,14.0,-180
78,2025-06-23 15:00:00,0.0635,1.0,404.94,23.92,60,27.9,100182.77,16.84,0.77,0.0206,0.0,-123.57999999999998,-0.21999999999999886,60.0,-1.0,-29.89999999999418,0.9700000000000006,0.020000000000000018,15.0,-240
79,2025-06-23 16:00:00,1.2488,1.0,231.72,18.31,70,26.7,100139.81,15.88,0.81,1.1852999999999998,0.0,-173.22,-5.610000000000003,10.0,-1.1999999999999993,-42.9600000000064,-0.9599999999999991,0.040000000000000036,16.0,-300
80,2025-06-23 17:00:00,8.7582,1.0,3.59,3.03,80,25.4,100111.9,11.51,0.96,7.5094,0.0,-228.13,-15.28,10.0,-1.3000000000000007,-27.910000000003492,-4.370000000000001,0.1499999999999999,17.0,-360
24,2025-06-23 18:00:00,0.1751,1.0,7.14,24.13,60,25.6,100274.69,9.12,0.96,-8.5831,0.0,3.55,21.099999999999998,-20.0,0.20000000000000284,162.79000000000815,-2.3900000000000006,0.0,18.0,-420
25,2025-06-23 19:00:00,0.7553,1.0,0.2,15.22,60,25.2,100294.33,8.83,0.96,0.5801999999999999,0.0,-6.9399999999999995,-8.909999999999998,0.0,-0.40000000000000213,19.639999999999418,-0.28999999999999915,0.0,19.0,-480
26,2025-06-23 20:00:00,0.1528,1.0,0.0,24.1,60,25.0,100356.33,8.22,0.96,-0.6025,0.0,-0.2,8.88,0.0,-0.1999999999999993,62.0,-0.6099999999999994,0.0,20.0,-540
27,2025-06-23 21:00:00,0.2472,1.0,0.0,22.07,60,24.8,100400.39,7.36,0.96,0.09440000000000001,0.0,0.0,-2.030000000000001,0.0,-0.1999999999999993,44.05999999999767,-0.8600000000000003,0.0,21.0,-600
28,2025-06-23 22:00:00,0.3519,1.0,0.0,21.16,60,25.2,100406.59,6.34,0.97,0.10469999999999999,0.0,0.0,-0.9100000000000001,0.0,0.3999999999999986,6.19999999999709,-1.0200000000000005,0.010000000000000009,22.0,-660
29,2025-06-23 23:00:00,0.2815,1.0,0.0,22.91,60,24.5,100342.53,8.0,0.97,-0.07040000000000002,0.0,0.0,1.75,0.0,-0.6999999999999993,-64.05999999999767,1.6600000000000001,0.0,23.0,-720
